b,k,periodo,estabilidad
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36.25),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36.25),4,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36.5),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36.75),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-37),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-37.25),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-37.5),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-37.75),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-38),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-38.25),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-38.75),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39.25),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39.5),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39.75),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-40.5),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-40.75),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-41),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-41.25),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-41.5),2,E
ExactReal{Float64}(-19.75),ExactReal{Float64}(-42),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-42.25),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-42.5),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-42.75),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43.5),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43.75),4,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44.25),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44.5),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44.75),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44.75),5,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-45),2,I
ExactReal{Float64}(-19.75),ExactReal{Float64}(-45),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-21.75),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-22.25),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-23.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-23.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-24),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-24.25),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.25),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.75),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.75),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26.5),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27.25),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.25),3,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.5),3,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.75),3,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29.25),3,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29.75),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-30),3,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-30.25),3,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-30.75),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-31),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-31.5),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-31.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32.25),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32.5),5,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-32.75),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-33),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-33),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-33.5),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-34),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-34.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-34.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-35),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-36),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-36.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-36.5),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-36.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-37),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-37.25),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-37.5),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-38),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-38.25),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-38.75),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-39),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-39.25),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-39.5),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-39.75),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-40),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-40.25),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-40.5),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-41),2,E
ExactReal{Float64}(-19.5),ExactReal{Float64}(-41.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-41.5),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-41.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-41.75),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-42),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-42),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-42.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-42.5),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-42.5),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-42.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-43),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-43.5),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-43.5),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-43.75),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-44.25),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-44.5),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-44.5),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-44.5),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-44.75),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-44.75),4,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-44.75),5,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-45),2,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-45),3,I
ExactReal{Float64}(-19.5),ExactReal{Float64}(-45),5,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-22),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-22.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-22.25),4,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-23),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-23.5),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-23.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-24.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-24.75),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-25.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-25.5),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-25.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-25.75),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-25.75),5,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-26.25),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-26.5),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-26.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-27.25),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-27.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-28),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-28),3,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-28.25),3,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-28.5),3,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-28.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-28.75),3,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-29),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-29.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-29.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-29.5),3,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-29.75),3,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-30),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-30),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-30.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-30.25),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-30.5),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-30.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-31.25),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-31.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-31.5),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-31.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-32),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-32.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-32.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-32.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-32.75),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-33.25),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-33.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-34),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-34),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-34.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-35),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-35),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-35.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-35.25),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-35.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-36.5),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-36.75),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-37.5),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-38.5),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-38.75),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-39),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-39.5),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-39.75),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-40),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-40.25),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-40.5),2,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-40.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-41),4,E
ExactReal{Float64}(-19.25),ExactReal{Float64}(-41.5),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-41.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-42),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-42),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-42.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-42.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-42.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-43),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-43.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-43.5),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-43.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-43.75),5,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.25),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.25),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.25),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.5),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.5),3,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.75),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.75),4,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-44.75),5,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-45),2,I
ExactReal{Float64}(-19.25),ExactReal{Float64}(-45),4,I
ExactReal{Float64}(-19),ExactReal{Float64}(-21.75),2,E
ExactReal{Float64}(-19),ExactReal{Float64}(-22.75),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-23),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-23.25),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-23.5),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-23.5),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-24.5),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-24.5),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-24.75),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-24.75),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-25),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-25.25),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-25.5),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-25.75),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-26),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-26.5),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-26.5),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-27),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-27.25),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-27.25),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-27.5),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-27.5),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-27.75),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-27.75),3,E
ExactReal{Float64}(-19),ExactReal{Float64}(-28),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-28),3,E
ExactReal{Float64}(-19),ExactReal{Float64}(-28.25),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-28.25),3,I
ExactReal{Float64}(-19),ExactReal{Float64}(-28.5),2,I
ExactReal{Float64}(-19),ExactReal{Float64}(-28.75),3,E
ExactReal{Float64}(-19),ExactReal{Float64}(-29),3,E
ExactReal{Float64}(-19),ExactReal{Float64}(-29.25),2,I
